TIME;drivetrain/gearbox/rpmMatchingRpmTarget;engine/rpm;drivetrain/gearbox/dsg/nextGear;sensors/gear;drivetrain/gearbox/state;drivetrain/gearbox/dsg/diagnosticFlags;drivetrain/gearSelector/position;drivetrain/gearbox/dsg/gearSelectorPosition;drivetrain/gearbox/stateTimer;drivetrain/torqueEstimation/engineTorquePercent;drivetrain/torqueEstimation/dsgEngineTorquePercent;drivetrain/gearbox/dsg/requestedTorque;ignition/angle;drivetrain/gearbox/torqueReduction/dbwCorrection;drivetrain/gearbox/torqueReduction/cylinderCut;drivetrain/gearbox/torqueReduction/ignCorrection;drivetrain/gearbox/torqueReduction;sensors/tps1;dbw/target
2.440;;1087;0;-3;0;;0;0;;;;0.000;10.800;;0.000;;;4.400;4.400
2.460;;1092;;;;;;;;;;;;;;;;;
2.480;;1091;;;;;;;;;;;10.200;;;;;4.400;4.400
2.500;0;1086;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
2.520;;1086;;;;;;;;;;;10.600;;;;;4.400;4.400
2.540;;1090;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
2.560;;1098;;;;;;;;;;;10.300;;;;;4.400;4.400
2.580;;1099;;;;;;;;;;;;;;;;;
2.600;0;1096;;;;0;;;0;0.000;0.000;;9.800;0.000;;0.000;0.000;4.400;4.400
2.620;;1094;;;;;;;;;;;;;;;;;
2.640;;1096;0;-3;0;;0;0;;;;0.000;10.100;;0.000;;;4.400;4.400
2.660;;1102;;;;;;;;;;;;;;;;;
2.680;;1113;;;;;;;;;;;9.600;;;;;4.400;4.400
2.700;0;1121;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
2.720;;1127;;;;;;;;;;;8.500;;;;;4.400;4.400
2.740;;1133;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
2.760;;1140;;;;;;;;;;;7.600;;;;;4.400;4.400
2.780;;1141;;;;;;;;;;;;;;;;;
2.800;0;1136;;;;0;;;0;0.000;0.000;;7.100;0.000;;0.000;0.000;4.400;4.400
2.820;;1125;;;;;;;;;;;;;;;;;
2.840;;1116;0;-3;0;;0;0;;;;0.000;8.000;;0.000;;;4.400;4.400
2.860;;1108;;;;;;;;;;;;;;;;;
2.880;;1101;;;;;;;;;;;9.000;;;;;4.400;4.400
2.900;0;1093;;;;0;;;0;0.000;0.000;;;0.000;;0.000;0.000;;
2.920;;1091;;;;;;;;;;;9.900;;;;;4.400;4.400
2.940;;1092;0;-3;0;;0;0;;;;0.000;;;0.000;;;;
2.960;;1098;;;;;;;;;;;10.000;;;;;4.400;4.400
